Comment,Designator,Footprint,LCSC
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C136423
1N4148WS,"D10,D11,D12,D14,D15,D16,D17,D19,D20,D21,D23,D24,D25,D26,D33,D34,D35,D36,D5,D6,D7,D9",D_SOD-323_HandSoldering,C2128
5.1k,"R1,R6,R7",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C27834
100nF,"C1,C2,C3,C4,C5",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28233
1µF,"C6,C7",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323
AudioJack4,J2,TRRS-PJ-320A-no-Fmask,C2884926
LDO,U2,SOT-23,C5446
BOOT,"SW1,SW2",SW_SPST_CK_RS282G05A3,C720381
STM32,U1,LQFP-48_7x7mm_P0.5mm,C80488
